Geographic Area Name (NAME),Population Universe (POPUNI),"Estimate, 0 components of social vulnerability (PRED0_E)","Margin of error, 0 components of social vulnerability (PRED0_M)","Percent, 0 components of social vulnerability (PRED0_PE)","Percent margin of error, 0 components of social vulnerability (PRED0_PM)","Estimate, 1-2 components of social vulnerability (PRED12_E)","Margin of error, 1-2 components of social vulnerability (PRED12_M)","Percent, 1-2 components of social vulnerability (PRED12_PE)","Percent margin of error, 1-2 components of social vulnerability (PRED12_PM)","Estimate, 3+ components of social vulnerability (PRED3_E)","Margin of error, 3+ components of social vulnerability (PRED3_M)","Percent, 3+ components of social vulnerability (PRED3_PE)","Percent margin of error, 3+ components of social vulnerability (PRED3_PM)"
"Cass County, Nebraska","27,379","11,797","1,269",43.09%,4.63%,"11,291","1,276",41.24%,4.66%,"4,291",989,15.67%,3.61%
"Bladen County, North Carolina","29,377","8,044","1,269",27.38%,4.32%,"13,522","1,394",46.03%,4.75%,"7,811","1,247",26.59%,4.24%
"Colonial Heights city, Virginia","18,390","6,029","1,268",32.78%,6.90%,"9,058","1,303",49.26%,7.09%,"3,303","1,031",17.96%,5.61%
"Marion County, Kentucky","19,567","6,621","1,267",33.84%,6.48%,"8,424","1,330",43.05%,6.80%,"4,522","1,149",23.11%,5.87%
"Plaquemines Parish, Louisiana","21,847","7,989","1,265",36.57%,5.79%,"8,665","1,326",39.66%,6.07%,"5,193","1,063",23.77%,4.87%
"Milam County, Texas","25,746","6,458","1,265",25.08%,4.91%,"11,144","1,454",43.28%,5.65%,"8,144","1,300",31.63%,5.05%
"Page County, Virginia","23,685","7,017","1,265",29.63%,5.34%,"10,818","1,328",45.67%,5.61%,"5,850","1,115",24.70%,4.71%
"Miller County, Missouri","25,522","9,513","1,264",37.27%,4.95%,"10,622","1,271",41.62%,4.98%,"5,387",992,21.11%,3.89%
"Dunklin County, Missouri","26,910","8,101","1,263",30.10%,4.69%,"11,697","1,293",43.47%,4.80%,"7,112","1,057",26.43%,3.93%
"McDonough County, Illinois","24,769","8,909","1,262",35.97%,5.10%,"9,960","1,282",40.21%,5.18%,"5,900","1,050",23.82%,4.24%
"Grenada County, Mississippi","20,970","5,628","1,262",26.84%,6.02%,"8,308","1,384",39.62%,6.60%,"7,034","1,278",33.54%,6.09%
"Los Alamos County, New Mexico","19,438","8,161","1,260",41.98%,6.48%,"8,552","1,347",44.00%,6.93%,"2,725","1,060",14.02%,5.45%
"Yazoo County, Mississippi","21,547","5,511","1,258",25.58%,5.84%,"9,349","1,413",43.39%,6.56%,"6,687","1,328",31.03%,6.16%
"De Soto Parish, Louisiana","27,028","6,969","1,257",25.78%,4.65%,"12,458","1,419",46.09%,5.25%,"7,601","1,280",28.12%,4.74%
"San Miguel County, New Mexico","26,012","5,826","1,257",22.40%,4.83%,"12,128","1,480",46.62%,5.69%,"8,058","1,340",30.98%,5.15%
"Simpson County, Kentucky","19,764","6,214","1,256",31.44%,6.35%,"8,981","1,317",45.44%,6.66%,"4,569","1,131",23.12%,5.72%
"Becker County, Minnesota","35,230","11,604","1,256",32.94%,3.57%,"16,391","1,293",46.53%,3.67%,"7,235","1,069",20.54%,3.03%
"Harrison County, Kentucky","19,415","6,589","1,255",33.94%,6.46%,"8,231","1,309",42.40%,6.74%,"4,595","1,123",23.67%,5.78%
"Garrett County, Maryland","28,179","10,288","1,254",36.51%,4.45%,"11,670","1,320",41.41%,4.68%,"6,221","1,122",22.08%,3.98%
"Simpson County, Mississippi","25,508","7,999","1,254",31.36%,4.92%,"10,799","1,349",42.34%,5.29%,"6,710","1,215",26.31%,4.76%
"Coos County, New Hampshire","30,478","10,552","1,252",34.62%,4.11%,"12,870","1,279",42.23%,4.20%,"7,056","1,001",23.15%,3.28%
"Mingo County, West Virginia","22,023","5,488","1,252",24.92%,5.68%,"9,578","1,302",43.49%,5.91%,"6,957","1,073",31.59%,4.87%
"Teller County, Colorado","24,595","7,941","1,249",32.29%,5.08%,"12,499","1,339",50.82%,5.44%,"4,155","1,080",16.89%,4.39%
"Lake County, Montana","33,226","8,353","1,248",25.14%,3.76%,"17,162","1,433",51.65%,4.31%,"7,711","1,267",23.21%,3.81%
"Saline County, Illinois","22,725","7,825","1,246",34.43%,5.48%,"8,517","1,269",37.48%,5.58%,"6,383","1,057",28.09%,4.65%
"Williamsburg County, South Carolina","28,517","7,343","1,246",25.75%,4.37%,"12,598","1,399",44.18%,4.91%,"8,576","1,292",30.07%,4.53%
"Cass County, Texas","28,607","7,746","1,246",27.08%,4.36%,"12,216","1,395",42.70%,4.88%,"8,645","1,246",30.22%,4.36%
"Wyoming County, West Virginia","20,277","5,454","1,245",26.90%,6.14%,"9,427","1,299",46.49%,6.41%,"5,396","1,076",26.61%,5.31%
"Audrain County, Missouri","23,732","8,184","1,243",34.49%,5.24%,"9,505","1,262",40.05%,5.32%,"6,043","1,011",25.46%,4.26%
"Lincoln County, Oklahoma","34,484","9,064","1,241",26.28%,3.60%,"15,674","1,358",45.45%,3.94%,"9,746","1,159",28.26%,3.36%
"Unicoi County, Tennessee","17,680","5,949","1,241",33.65%,7.02%,"7,546","1,319",42.68%,7.46%,"4,185","1,172",23.67%,6.63%
"Pierce County, Georgia","20,322","6,922","1,238",34.06%,6.09%,"9,392","1,294",46.22%,6.37%,"4,008","1,060",19.72%,5.22%
"DeKalb County, Tennessee","21,156","6,825","1,237",32.26%,5.85%,"9,422","1,299",44.54%,6.14%,"4,909","1,115",23.20%,5.27%
"Custer County, Oklahoma","27,305","8,038","1,236",29.44%,4.53%,"12,746","1,368",46.68%,5.01%,"6,521","1,157",23.88%,4.24%
"Russell County, Virginia","25,414","8,535","1,232",33.58%,4.85%,"10,535","1,287",41.45%,5.06%,"6,344","1,071",24.96%,4.21%
"Washington County, Nebraska","21,148","10,800","1,228",51.07%,5.81%,"7,279","1,236",34.42%,5.84%,"3,069",961,14.51%,4.54%
"Schoharie County, New York","28,788","9,791","1,227",34.01%,4.26%,"13,087","1,252",45.46%,4.35%,"5,910","1,036",20.53%,3.60%
"McNairy County, Tennessee","26,082","8,576","1,226",32.88%,4.70%,"11,555","1,294",44.30%,4.96%,"5,951","1,136",22.82%,4.36%
"Cherokee County, Alabama","25,548","6,857","1,225",26.84%,4.79%,"11,720","1,302",45.87%,5.10%,"6,971","1,156",27.29%,4.52%
"Franklin County, Georgia","24,142","7,196","1,225",29.81%,5.07%,"10,819","1,283",44.81%,5.31%,"6,127","1,059",25.38%,4.39%
"Bristol city, Virginia","16,671","5,743","1,223",34.45%,7.34%,"6,066","1,226",36.39%,7.35%,"4,862",923,29.16%,5.54%
"Washington County, Missouri","22,689","7,343","1,219",32.36%,5.37%,"9,529","1,221",42.00%,5.38%,"5,817",942,25.64%,4.15%
"Lauderdale County, Tennessee","22,941","6,873","1,218",29.96%,5.31%,"9,331","1,317",40.67%,5.74%,"6,737","1,187",29.37%,5.17%
"Starke County, Indiana","23,206","8,677","1,217",37.39%,5.24%,"9,571","1,237",41.24%,5.33%,"4,958","1,005",21.37%,4.33%
"Union County, Oregon","25,780","7,453","1,217",28.91%,4.72%,"12,503","1,339",48.50%,5.19%,"5,824","1,078",22.59%,4.18%
"Overton County, Tennessee","23,246","7,770","1,217",33.43%,5.24%,"10,359","1,275",44.56%,5.48%,"5,117","1,098",22.01%,4.72%
"Jersey County, Illinois","20,683","7,269","1,214",35.14%,5.87%,"9,860","1,233",47.67%,5.96%,"3,554","1,023",17.18%,4.95%
"Morrison County, Minnesota","34,235","13,494","1,214",39.42%,3.55%,"14,501","1,229",42.36%,3.59%,"6,240",977,18.23%,2.85%
"Owen County, Indiana","21,474","6,360","1,213",29.62%,5.65%,"10,356","1,229",48.23%,5.72%,"4,758","1,003",22.16%,4.67%
"Stutsman County, North Dakota","20,282","9,298","1,213",45.84%,5.98%,"7,031","1,223",34.67%,6.03%,"3,953",987,19.49%,4.87%
"Logan County, Illinois","24,800","9,432","1,212",38.03%,4.89%,"10,213","1,221",41.18%,4.92%,"5,155","1,007",20.79%,4.06%
"Morehouse Parish, Louisiana","23,074","5,411","1,212",23.45%,5.25%,"9,399","1,399",40.73%,6.06%,"8,264","1,307",35.82%,5.66%
"Clarion County, Pennsylvania","35,202","13,190","1,211",37.47%,3.44%,"14,055","1,223",39.93%,3.47%,"7,957","1,006",22.60%,2.86%
"Crisp County, Georgia","19,340","4,835","1,210",25.00%,6.26%,"8,619","1,324",44.57%,6.85%,"5,886","1,176",30.43%,6.08%
"Morgan County, Georgia","21,362","7,213","1,210",33.77%,5.66%,"10,048","1,285",47.04%,6.02%,"4,101","1,098",19.20%,5.14%
"Randolph County, Illinois","27,595","10,549","1,210",38.23%,4.38%,"10,757","1,234",38.98%,4.47%,"6,289","1,022",22.79%,3.70%
"Natchitoches Parish, Louisiana","34,331","8,558","1,210",24.93%,3.52%,"16,626","1,343",48.43%,3.91%,"9,147","1,204",26.64%,3.51%
"Hughes County, South Dakota","17,047","6,908","1,209",40.52%,7.09%,"7,233","1,241",42.43%,7.28%,"2,906","1,008",17.05%,5.91%
"King William County, Virginia","19,030","7,769","1,209",40.83%,6.35%,"8,060","1,259",42.35%,6.62%,"3,201","1,038",16.82%,5.45%
"Randolph County, Alabama","22,358","8,224","1,207",36.78%,5.40%,"8,564","1,285",38.30%,5.75%,"5,570","1,143",24.91%,5.11%
"Abbeville County, South Carolina","23,806","7,276","1,207",30.56%,5.07%,"10,057","1,295",42.25%,5.44%,"6,473","1,133",27.19%,4.76%
"Lincoln County, Wyoming","20,880","5,880","1,205",28.16%,5.77%,"10,854","1,276",51.98%,6.11%,"4,146",986,19.86%,4.72%
"White County, Indiana","24,882","9,949","1,203",39.98%,4.83%,"9,899","1,235",39.78%,4.96%,"5,034","1,016",20.23%,4.08%
"Putnam County, Georgia","23,126","6,236","1,199",26.97%,5.18%,"10,414","1,318",45.03%,5.70%,"6,476","1,175",28.00%,5.08%
"Polk County, Minnesota","29,817","12,208","1,199",40.94%,4.02%,"11,633","1,210",39.01%,4.06%,"5,976",952,20.04%,3.19%
"Falls Church city, Virginia","14,682","7,481","1,198",50.95%,8.16%,"5,412","1,198",36.86%,8.16%,"1,789",895,12.18%,6.10%
"Washington County, Florida","23,834","6,922","1,197",29.04%,5.02%,"11,468","1,258",48.12%,5.28%,"5,444","1,062",22.84%,4.46%
"Cleburne County, Arkansas","25,431","7,199","1,196",28.31%,4.70%,"11,483","1,326",45.15%,5.21%,"6,749","1,167",26.54%,4.59%
"Scott County, Tennessee","22,062","5,538","1,196",25.10%,5.42%,"10,903","1,236",49.42%,5.60%,"5,621","1,033",25.48%,4.68%
"Grant County, Arkansas","18,305","6,297","1,192",34.40%,6.51%,"8,062","1,283",44.04%,7.01%,"3,946","1,067",21.56%,5.83%
"Texas County, Missouri","24,037","7,194","1,191",29.93%,4.95%,"10,556","1,204",43.92%,5.01%,"6,287",955,26.16%,3.97%
"Tillamook County, Oregon","27,136","7,038","1,190",25.94%,4.39%,"13,800","1,355",50.85%,4.99%,"6,298","1,141",23.21%,4.20%
"Lampasas County, Texas","23,200","6,609","1,189",28.49%,5.13%,"10,748","1,335",46.33%,5.75%,"5,843","1,167",25.19%,5.03%
"Bandera County, Texas","22,573","5,308","1,188",23.51%,5.26%,"10,501","1,377",46.52%,6.10%,"6,764","1,248",29.97%,5.53%
"Conway County, Arkansas","21,028","5,379","1,187",25.58%,5.64%,"9,760","1,302",46.41%,6.19%,"5,889","1,126",28.01%,5.35%
"Leake County, Mississippi","20,977","6,062","1,187",28.90%,5.66%,"8,011","1,313",38.19%,6.26%,"6,904","1,192",32.91%,5.68%
"Jefferson County, Oregon","24,445","6,259","1,187",25.60%,4.86%,"13,345","1,372",54.59%,5.61%,"4,841","1,168",19.80%,4.78%
"Bremer County, Iowa","23,991","11,152","1,183",46.48%,4.93%,"9,676","1,194",40.33%,4.98%,"3,163",937,13.18%,3.91%
"Susquehanna County, Pennsylvania","38,067","13,264","1,183",34.84%,3.11%,"17,273","1,206",45.38%,3.17%,"7,530","1,006",19.78%,2.64%
"Uinta County, Wyoming","20,684","5,561","1,183",26.89%,5.72%,"11,450","1,247",55.36%,6.03%,"3,673",948,17.76%,4.58%
"Franklin Parish, Louisiana","19,285","4,799","1,182",24.88%,6.13%,"8,703","1,339",45.13%,6.94%,"5,783","1,221",29.99%,6.33%
"Taylor County, Florida","20,100","4,675","1,181",23.26%,5.88%,"9,389","1,262",46.71%,6.28%,"6,036","1,087",30.03%,5.41%
"Fulton County, Indiana","20,301","7,992","1,181",39.37%,5.82%,"7,844","1,199",38.64%,5.91%,"4,465",973,21.99%,4.79%
"Shelby County, Texas","24,179","5,566","1,179",23.02%,4.88%,"12,086","1,335",49.99%,5.52%,"6,527","1,177",26.99%,4.87%
"Sanpete County, Utah","27,439","8,654","1,179",31.54%,4.30%,"13,183","1,245",48.04%,4.54%,"5,602",946,20.42%,3.45%
"Montgomery County, Illinois","25,803","8,616","1,177",33.39%,4.56%,"11,298","1,196",43.79%,4.64%,"5,889",997,22.82%,3.86%
"Caswell County, North Carolina","21,724","6,409","1,177",29.50%,5.42%,"9,958","1,270",45.84%,5.85%,"5,357","1,125",24.66%,5.18%
"Ohio County, Kentucky","23,601","7,698","1,175",32.62%,4.98%,"9,886","1,227",41.89%,5.20%,"6,017","1,049",25.49%,4.44%
"Klickitat County, Washington","23,565","6,397","1,175",27.15%,4.99%,"11,335","1,319",48.10%,5.60%,"5,833","1,095",24.75%,4.65%
"Lincoln County, Wisconsin","28,296","11,447","1,174",40.45%,4.15%,"11,503","1,199",40.65%,4.24%,"5,346",998,18.89%,3.53%
"Beckham County, Oklahoma","19,770","5,149","1,173",26.04%,5.93%,"8,770","1,289",44.36%,6.52%,"5,851","1,089",29.60%,5.51%
"Humphreys County, Tennessee","18,880","6,413","1,173",33.97%,6.21%,"7,755","1,228",41.08%,6.50%,"4,712","1,059",24.96%,5.61%
"Gage County, Nebraska","21,618","9,061","1,172",41.91%,5.42%,"8,599","1,179",39.78%,5.45%,"3,958",946,18.31%,4.38%
"Brantley County, Georgia","18,401","5,994","1,171",32.57%,6.36%,"8,591","1,208",46.69%,6.56%,"3,816",970,20.74%,5.27%
"Banks County, Georgia","19,774","7,412","1,170",37.48%,5.92%,"8,534","1,217",43.16%,6.15%,"3,828",985,19.36%,4.98%
"Panola County, Texas","22,743","5,571","1,168",24.50%,5.14%,"10,790","1,309",47.44%,5.76%,"6,382","1,158",28.06%,5.09%
"Henry County, Missouri","22,481","6,934","1,167",30.84%,5.19%,"9,849","1,186",43.81%,5.28%,"5,698",959,25.35%,4.27%
"Martin County, North Carolina","21,443","6,070","1,166",28.31%,5.44%,"10,136","1,290",47.27%,6.02%,"5,237","1,168",24.42%,5.45%
"Benton County, Iowa","25,778","12,836","1,165",49.79%,4.52%,"9,021","1,171",34.99%,4.54%,"3,921",916,15.21%,3.55%
"Clinton County, Missouri","21,548","8,806","1,164",40.87%,5.40%,"8,787","1,170",40.78%,5.43%,"3,955",928,18.35%,4.31%
"Meigs County, Ohio","21,767","7,928","1,163",36.42%,5.34%,"7,703","1,177",35.39%,5.41%,"6,136",960,28.19%,4.41%
"Mahaska County, Iowa","21,474","8,009","1,162",37.30%,5.41%,"9,422","1,161",43.88%,5.41%,"4,043",904,18.83%,4.21%
"Wright County, Missouri","19,335","5,567","1,162",28.79%,6.01%,"8,279","1,170",42.82%,6.05%,"5,489",909,28.39%,4.70%
"Somerset County, Maryland","20,295","5,911","1,158",29.13%,5.71%,"9,128","1,264",44.98%,6.23%,"5,256","1,123",25.90%,5.53%
"Madison County, North Carolina","21,293","8,315","1,157",39.05%,5.43%,"8,509","1,216",39.96%,5.71%,"4,469","1,029",20.99%,4.83%
"Hampshire County, West Virginia","23,341","7,826","1,156",33.53%,4.95%,"10,187","1,212",43.64%,5.19%,"5,328","1,015",22.83%,4.35%
"Dallas County, Missouri","17,744","5,416","1,155",30.52%,6.51%,"7,970","1,165",44.92%,6.57%,"4,358",922,24.56%,5.20%
"Roosevelt County, New Mexico","17,872","6,413","1,154",35.88%,6.46%,"7,333","1,239",41.03%,6.93%,"4,126",983,23.09%,5.50%
"Fentress County, Tennessee","19,629","5,192","1,154",26.45%,5.88%,"8,702","1,218",44.33%,6.21%,"5,735","1,069",29.22%,5.45%
"Ray County, Missouri","23,150","8,766","1,152",37.87%,4.98%,"9,320","1,159",40.26%,5.01%,"5,064",906,21.87%,3.91%
"Gray County, Texas","19,468","6,037","1,151",31.01%,5.91%,"8,869","1,246",45.56%,6.40%,"4,562","1,048",23.43%,5.38%
"Brown County, Minnesota","25,067","11,623","1,150",46.37%,4.59%,"9,251","1,169",36.91%,4.66%,"4,193",939,16.73%,3.75%
"Montgomery County, North Carolina","25,579","7,804","1,150",30.51%,4.50%,"11,175","1,254",43.69%,4.90%,"6,600","1,094",25.80%,4.28%
"Calhoun County, Texas","19,633","4,788","1,149",24.39%,5.85%,"9,980","1,361",50.83%,6.93%,"4,865","1,226",24.78%,6.24%
"McDonald County, Missouri","23,871","6,810","1,147",28.53%,4.80%,"12,471","1,168",52.24%,4.89%,"4,590",906,19.23%,3.80%
"Marlboro County, South Carolina","23,238","6,126","1,146",26.36%,4.93%,"8,966","1,266",38.58%,5.45%,"8,146","1,147",35.05%,4.94%
"Smith County, Tennessee","20,491","8,872","1,146",43.30%,5.59%,"8,181","1,191",39.92%,5.81%,"3,438","1,003",16.78%,4.89%
"Perry County, Missouri","18,928","7,250","1,145",38.30%,6.05%,"8,298","1,152",43.84%,6.09%,"3,380",908,17.86%,4.80%
"Brooke County, West Virginia","20,915","6,729","1,145",32.17%,5.47%,"8,251","1,178",39.45%,5.63%,"5,935",960,28.38%,4.59%
"Wayne County, Mississippi","19,700","5,422","1,142",27.52%,5.80%,"8,726","1,242",44.29%,6.30%,"5,552","1,122",28.18%,5.70%
"Rockbridge County, Virginia","21,958","7,188","1,142",32.74%,5.20%,"9,543","1,215",43.46%,5.53%,"5,227","1,043",23.80%,4.75%
"Tippah County, Mississippi","20,964","6,207","1,140",29.61%,5.44%,"9,134","1,207",43.57%,5.76%,"5,623","1,056",26.82%,5.04%
"Saline County, Missouri","21,190","7,778","1,139",36.71%,5.38%,"8,631","1,152",40.73%,5.44%,"4,781",901,22.56%,4.25%
"Pike County, Georgia","20,271","7,243","1,138",35.73%,5.61%,"8,317","1,174",41.03%,5.79%,"4,711",941,23.24%,4.64%
"Le Sueur County, Minnesota","29,242","12,989","1,138",44.42%,3.89%,"11,773","1,147",40.26%,3.92%,"4,480",890,15.32%,3.04%
"Vernon County, Missouri","19,332","5,885","1,138",30.44%,5.89%,"9,269","1,147",47.95%,5.93%,"4,178",916,21.61%,4.74%
"Clarke County, Alabama","22,262","7,291","1,136",32.75%,5.10%,"9,155","1,242",41.12%,5.58%,"5,816","1,150",26.13%,5.17%
"Woodward County, Oklahoma","18,871","6,074","1,136",32.19%,6.02%,"8,717","1,253",46.19%,6.64%,"4,080","1,066",21.62%,5.65%
"Taylor County, West Virginia","16,042","5,918","1,136",36.89%,7.08%,"6,536","1,179",40.74%,7.35%,"3,588",969,22.37%,6.04%
"Randolph County, Indiana","24,162","9,322","1,135",38.58%,4.70%,"9,348","1,156",38.69%,4.78%,"5,492",947,22.73%,3.92%
"Hutchinson County, Texas","19,874","4,925","1,135",24.78%,5.71%,"10,119","1,277",50.92%,6.43%,"4,830","1,104",24.30%,5.55%
"Buena Vista County, Iowa","19,961","6,477","1,134",32.45%,5.68%,"9,198","1,197",46.08%,6.00%,"4,286",972,21.47%,4.87%
"McCurtain County, Oklahoma","30,572","7,847","1,134",25.67%,3.71%,"13,464","1,264",44.04%,4.13%,"9,261","1,100",30.29%,3.60%
"Saunders County, Nebraska","23,384","11,042","1,133",47.22%,4.85%,"8,647","1,136",36.98%,4.86%,"3,695",876,15.80%,3.75%
"Union County, Tennessee","20,683","7,419","1,130",35.87%,5.46%,"8,677","1,174",41.95%,5.68%,"4,587",991,22.18%,4.79%
"Boone County, West Virginia","20,539","6,887","1,130",33.53%,5.50%,"7,803","1,177",37.99%,5.73%,"5,849",976,28.48%,4.75%
"Curry County, Oregon","23,280","4,434","1,129",19.05%,4.85%,"12,455","1,337",53.50%,5.74%,"6,391","1,185",27.45%,5.09%
"Morgan County, Missouri","21,847","5,245","1,125",24.01%,5.15%,"9,923","1,140",45.42%,5.22%,"6,679",902,30.57%,4.13%
"Hardeman County, Tennessee","22,107","7,159","1,125",32.38%,5.09%,"7,984","1,229",36.12%,5.56%,"6,964","1,130",31.50%,5.11%
"Carroll County, Iowa","20,497","8,841","1,122",43.13%,5.47%,"7,773","1,139",37.92%,5.56%,"3,883",922,18.94%,4.50%
"Yancey County, North Carolina","18,911","5,115","1,122",27.05%,5.93%,"8,103","1,195",42.85%,6.32%,"5,693","1,023",30.10%,5.41%
"Washington County, Iowa","22,540","8,297","1,120",36.81%,4.97%,"9,449","1,140",41.92%,5.06%,"4,794",914,21.27%,4.06%
"Colorado County, Texas","20,986","5,458","1,120",26.01%,5.34%,"9,568","1,316",45.59%,6.27%,"5,960","1,203",28.40%,5.73%
"Mille Lacs County, Minnesota","27,337","9,969","1,119",36.47%,4.09%,"12,538","1,131",45.86%,4.14%,"4,830",889,17.67%,3.25%
"Wyandot County, Ohio","21,452","9,087","1,119",42.36%,5.22%,"8,633","1,133",40.24%,5.28%,"3,732",926,17.40%,4.32%
"Orleans County, Vermont","27,043","10,044","1,119",37.14%,4.14%,"11,520","1,139",42.60%,4.21%,"5,479",873,20.26%,3.23%
"Breckinridge County, Kentucky","20,915","7,409","1,117",35.42%,5.34%,"8,923","1,167",42.66%,5.58%,"4,583",996,21.91%,4.76%
"Fayette County, Texas","25,449","6,504","1,115",25.56%,4.38%,"12,908","1,298",50.72%,5.10%,"6,037","1,180",23.72%,4.64%
"Carbon County, Utah","20,538","7,172","1,113",34.92%,5.42%,"9,185","1,185",44.72%,5.77%,"4,181",934,20.36%,4.55%
"Lee County, Virginia","20,364","5,599","1,113",27.49%,5.47%,"8,619","1,165",42.32%,5.72%,"6,146",973,30.18%,4.78%
"Pointe Coupee Parish, Louisiana","20,000","6,072","1,112",30.36%,5.56%,"7,616","1,269",38.08%,6.35%,"6,312","1,168",31.56%,5.84%
"Morgan County, Tennessee","19,828","7,273","1,112",36.68%,5.61%,"8,115","1,162",40.93%,5.86%,"4,440",992,22.39%,5.00%
"Chaffee County, Colorado","19,434","5,863","1,110",30.17%,5.71%,"9,945","1,210",51.17%,6.23%,"3,626","1,002",18.66%,5.16%
"Humboldt County, Nevada","17,113","5,592","1,110",32.68%,6.49%,"8,412","1,194",49.16%,6.98%,"3,109",942,18.17%,5.50%
"Bourbon County, Kentucky","20,131","6,712","1,109",33.34%,5.51%,"8,655","1,167",42.99%,5.80%,"4,764","1,006",23.66%,5.00%
"Winston County, Alabama","23,537","5,653","1,107",24.02%,4.70%,"10,266","1,164",43.62%,4.95%,"7,618","1,012",32.37%,4.30%
"Colusa County, California","21,977","5,018","1,107",22.83%,5.04%,"11,975","1,324",54.49%,6.02%,"4,984","1,141",22.68%,5.19%
"Crawford County, Missouri","22,628","6,986","1,107",30.87%,4.89%,"11,007","1,117",48.64%,4.94%,"4,635",888,20.48%,3.92%
"Lee County, Texas","18,011","4,988","1,105",27.69%,6.14%,"8,929","1,267",49.58%,7.03%,"4,094","1,123",22.73%,6.24%
"Sumner County, Kansas","22,277","7,947","1,104",35.67%,4.96%,"10,011","1,119",44.94%,5.02%,"4,319",893,19.39%,4.01%
"Poinsett County, Arkansas","22,374","7,054","1,103",31.53%,4.93%,"9,755","1,198",43.60%,5.35%,"5,565","1,017",24.87%,4.55%
"Lincoln County, West Virginia","19,701","5,233","1,102",26.56%,5.59%,"9,288","1,143",47.14%,5.80%,"5,180",932,26.29%,4.73%
"Elbert County, Georgia","19,978","5,746","1,101",28.76%,5.51%,"8,616","1,190",43.13%,5.96%,"5,616","1,045",28.11%,5.23%
"Emanuel County, Georgia","21,926","6,491","1,098",29.60%,5.01%,"9,581","1,180",43.70%,5.38%,"5,854","1,025",26.70%,4.67%
"Lewis County, Tennessee","13,026","5,363","1,097",41.17%,8.42%,"4,701","1,152",36.09%,8.84%,"2,962",997,22.74%,7.65%
"Trinity County, California","15,577","3,233","1,095",20.75%,7.03%,"7,917","1,234",50.82%,7.92%,"4,427","1,023",28.42%,6.57%
"Tattnall County, Georgia","20,368","5,406","1,095",26.54%,5.38%,"9,604","1,171",47.15%,5.75%,"5,358","1,001",26.31%,4.91%
"Trempealeau County, Wisconsin","30,886","11,423","1,092",36.98%,3.54%,"13,126","1,113",42.50%,3.60%,"6,337",898,20.52%,2.91%
"Sevier County, Utah","22,080","8,575","1,089",38.84%,4.93%,"9,698","1,145",43.92%,5.19%,"3,807",867,17.24%,3.93%
"Vernon County, Wisconsin","31,119","10,933","1,089",35.13%,3.50%,"12,044","1,111",38.70%,3.57%,"8,142",914,26.16%,2.94%
"Cibola County, New Mexico","24,680","4,762","1,087",19.29%,4.40%,"11,965","1,419",48.48%,5.75%,"7,953","1,331",32.22%,5.39%
"Logan County, Colorado","18,225","5,780","1,086",31.71%,5.96%,"8,245","1,170",45.24%,6.42%,"4,200",943,23.05%,5.17%
"Ben Hill County, Georgia","16,983","4,756","1,086",28.00%,6.39%,"6,846","1,184",40.31%,6.97%,"5,381","1,048",31.68%,6.17%
"Carroll County, Indiana","20,525","8,311","1,086",40.49%,5.29%,"8,642","1,100",42.10%,5.36%,"3,572",887,17.40%,4.32%
"Yates County, New York","23,741","7,634","1,084",32.16%,4.57%,"8,893","1,102",37.46%,4.64%,"7,214",924,30.39%,3.89%
